Название мероприятия;Дата проведения
День открытых дверей молодёжного центра;10.05.2026
Форум «Молодёжь Красноярья»;17.05.2026
Квиз-турнир для студентов Красноярска;24.05.2026
Мастер-класс по граффити и стрит-арту;31.05.2026
Волонтёрский субботник в Центральном парке;01.06.2026
Фестиваль уличной культуры «Своё дело»;07.06.2026
Лекция «Карьера и самозанятость для молодёжи»;14.06.2026
Спортивный турнир по баскетболу 3×3;21.06.2026
Кинопоказ и дискуссия о молодёжном кино;28.06.2026
Хакатон «Цифровой Красноярск»;05.07.2026
Творческий вечер молодых поэтов и музыкантов;12.07.2026
Тренинг по лидерству и командообразованию;19.07.2026
Экологическая акция «Чистый Енисей»;26.07.2026
Воркшоп по созданию подкастов;02.08.2026
Ярмарка молодёжных проектов и стартапов;09.08.2026
Фотокросс по историческому центру Красноярска;16.08.2026
Семинар «Грантовая поддержка молодёжных инициатив»;23.08.2026
Турнир по киберспорту среди молодёжи;30.08.2026
Мастер-класс по видеомонтажу и контенту;06.09.2026
Дебаты «Будущее Красноярска глазами молодёжи»;13.09.2026
Благотворительный концерт в поддержку приютов;20.09.2026
Квест-игра «Тайны Красноярска»;27.09.2026
Форум молодых предпринимателей Сибири;04.10.2026
Выставка работ молодых художников Красноярска;11.10.2026
Закрытие сезона: итоговый фестиваль молодёжного центра;25.10.2026
