id;date;text;likes;reposts;comments;views
27303;2025-11-09 13:00:01;Я на Попова, а ты? 👀  Мы находимся на Попова,12, чтобы каждый смог найти дело по душе — развил свои навыки в медиасфере, научился танцевать, разработал новый тренинг или проект, стал частью большой команды интеллектуальных или настольных игр, вышел на поле в Летней или Зимней дворовой футбольной лиге, вступил в [club32395596|Ассоциацию работающей молодежи], прошел первый инструктаж в [club8897528|Трудовом отряде Главы города Красноярска] и получил первый опыт официальной работы, и просто делал то, что любит…  Смотри на наши помещения во вкладке «Товары», выбирай любое из них для бронирования и заполняй  [https://vk.com/wall-43099753_27219|инициативную заявку] — это бесплатно!   Главное, что все дороги ведут в #мцсвоедело!  #твоё_время #МестоМолодых2025 #Росмолодёжь;108;14;21;17122
28774;2026-04-25 10:00:00;Доброе утро!    #мцсвоедело;6;0;0;90
28770;2026-04-24 15:05:19;🔝 Готов вывести свой спорт на новый уровень?  Хватит просто смотреть трансляции — пора создавать события самому! Сегодня — последний день, когда можно подать заявку на смену «Физическая культура и спорт» на ТИМ «Бирюса».  Если ты организуешь матчи, тренируешь или продвигаешь спорт в массы — регистрируйся. Тебя ждут топовые эксперты, возможности сформировать предложения по развитию спорта и ЗОЖ и подготовить проект для конкурса Росмолодёжь.Гранты и незабываемая атмосфера форума в лесу!  ⏱ Заявка ждёт тебя: vk.cc/cSM3A9  #твоё_время делать красиво;7;0;0;182
28769;2026-04-24 10:00:00;Доброе утро!    #мцсвоедело;19;0;0;254
28768;2026-04-23 17:00:00;🎖 Знать историю = получать возможности!    24 апреля мы станем площадкой для проведения самого масштабного исторического тестирования — «Диктанта Победы». В этом году диктант посвящён подвигам великих полководцев и ключевым событиям Великой Отечественной войны.    📍 Молодёжный центр «Своё дело» (ул. Попова, 12)  📅 24 апреля, в 16:00    Важно:  • Приходите за 15–20 минут до старта, чтобы успеть зарегистрироваться и занять место.  • Участвовать могут все желающие — возрастных ограничений нет!  • Абитуриенты, набравшие максимум баллов, могут получить дополнительные льготы при поступлении в вузы!    Стань частью большой истории. Ждём тебя!    #мцсвоедело #твоё_время;17;0;0;354
28766;2026-04-23 15:00:01;🐾 Наполним миски добром!  26 апреля приглашаем вас принять участие в добром деле и помочь проекту, передав волонтерам крупы, корм и консервы для бездомных животных из приюта [club33496160|«Верность»].    Сбор будет проходить в нашем молодёжном центре по адресу ул. Высотная, 15 с 11:00 до 14:00.    Также вы можете принести необходимые вещи по адресам:  — ул. Вавилова, 25а,  — ул. Бограда, 65.    По всем вопросам обращайтесь в группу [club71015847|проекта].    #мцсвоедело #твоё_время;10;1;0;189
28765;2026-04-23 13:00:05;⚡️ Регистрация продлена!   Мы получили десятки сообщений и решили оставить точку входа открытой ещё на несколько дней.   Форум «КОД ДОСТУПА» — это место, где соберутся создатели, а не пользователи. Четыре трека, полная перепрошивка навыков в окружении тех, кто сам пишет правила игры.  ⏳ У тебя есть считанные дни, чтобы вписать себя в этот алгоритм.  🔗 Забирай свой доступ по ссылке: vk.cc/cWfMdv  📍 МТБЦ «Пилот» (ул. Аэровокзальная, 10)  📅 29 апреля в 09:30   Хватит ждать обновлений. Стань тем, кто их запускает. До встречи в «Пилоте»!  #КодДоступа2026 #арм2026 #мцсвоедело #твоё_время;8;1;0;220
28762;2026-04-23 10:00:00;Доброе утро!    #мцсвоедело;7;0;0;293
28760;2026-04-22 19:32:35;"#длявсегокрая Кто поедет в Москву на Парад Победы?  24 апреля вся страна будет писать «Диктант Победы». В Красноярском крае в этот день откроется более 700 площадок. Помимо привычных школ, вузов, библиотек и музеев, будут работать уникальные локации: на борту самолёта, в электричке, в нацпарке «Красноярские Столбы», в музее-заповеднике «Шушенское» и на обновленном Мемориале Победы.    На центральной левобережной набережной Енисея в Красноярске уже открылась тематическая фотовыставка — 24 стенда рассказывают об истории и особенностях международной акции, которая проводится в рамках проекта Единой России «Историческая память».  Сам «Диктант Победы» стартует 24 апреля в 16:00 по местному времени. Это отличный повод собраться семьей или с друзьями и проверить, насколько хорошо мы помним нашу историю.  Зарегистрироваться уже можно на сайте диктантпобеды.рф. А если нет возможности прийти лично, диктант можно написать онлайн. Тест станет доступен 24 апреля с 9:00 по московскому времени.  Главный приз для участников — поездка в Москву на Парад Победы. Кстати, для абитуриентов это еще и возможность получить дополнительные баллы при поступлении в вузы.  «Международная акция «Диктант Победы» - это не просто проверка знаний, а повод вновь обратиться к героическим страницам истории нашей Родины. Приглашаю жителей Красноярского края присоединиться к акции в знак уважения к памяти дедов и прадедов, отстоявших мир», – отметил Губернатор, секретарь регионального отделения партии ""Единая Россия"" Михаил Котюков.  Самые актуальные новости про Красноярский край — в каналах мессенджера MAX. ● Губернатора Михаила Котюкова — max.ru/mkotyukov ● Правительства Красноярского края — max.ru/krskstate";20;0;0;585
28759;2026-04-22 19:20:36;Твой шаг к карьере в банке    Приходи на Лигу Приключений – карьерный фестиваль, где можно прожить настоящий рабочий день в банке, ещё до трудоустройства    Твои планы на этот день:  – узнай, какое направление тебе ближе – ИТ, финансы или продажи  – задай все интересующие вопросы рекрутеру один на один  – приходи на экспертные лекции  – опустошай полки магазина мерча  – пообщайся с Максимом Лутчаком: карьерные истории, честные провалы и разбор ситуаций    📎 Регистрируйся по ссылке: https://clck.ru/3Sirh8  30 мая | Красной Армии, 10к4 (Креативное пространство «Квадрат»)  Количество мест ограничено, возрастное ограничение 18+    #твоё_время #мцсвоедело;9;2;0;199
